age,income,loan_amount,credit_score,employment_status,loan_term,existing_debts,default
25,60597.4,19900.0,612,Self-Employed,12,21091.9,0
55,58547.95,29226.84,694,Part-Time,48,10287.43,0
50,89224.15,28202.42,700,Employed,36,9153.83,0
40,90477.6,18069.65,566,Employed,36,5667.5,0
40,56622.82,2000.0,601,Employed,24,12273.2,0
59,59920.93,8048.05,607,Unemployed,36,12312.75,0
24,83528.27,24870.01,664,Employed,36,17192.37,0
52,49310.39,4047.74,850,Employed,36,12469.13,0
30,59736.65,15059.77,596,Unemployed,36,26657.42,1
25,72239.82,21046.33,592,Unemployed,36,15193.52,1
44,94898.47,31226.14,578,Employed,24,5092.14,0
64,54885.03,12824.82,737,Part-Time,24,4499.67,0
54,23940.39,12208.61,676,Employed,36,15743.58,0
55,22085.06,17527.99,599,Employed,24,4871.7,0
53,38514.67,21158.22,647,Employed,24,16163.91,0
56,37170.81,16611.78,609,Unemployed,24,18269.47,1
44,66134.73,27443.42,707,Employed,48,18438.2,0
26,40278.0,10807.71,850,Part-Time,36,5915.69,0
58,52431.13,19081.45,730,Employed,36,18450.3,0
41,50647.85,22006.91,672,Self-Employed,36,14258.12,0
43,58987.3,14397.9,620,Self-Employed,36,7744.9,0
37,103062.61,25557.39,559,Part-Time,24,10884.19,0
29,86548.69,19340.63,746,Part-Time,36,15298.96,0
62,70403.24,25099.61,741,Part-Time,36,7290.04,0
56,58474.34,19746.94,638,Self-Employed,36,14113.02,0
49,59169.18,21387.64,789,Employed,24,22119.21,0
39,78193.66,12308.47,682,Unemployed,60,18748.39,1
58,84604.23,12323.05,750,Employed,48,12573.9,0
45,47309.56,29019.57,707,Employed,12,13639.0,0
40,70912.02,23719.59,664,Employed,60,8233.56,0
41,19209.51,8793.31,594,Employed,24,8430.73,0
31,75292.84,19627.77,667,Self-Employed,12,1239.63,0
25,89053.73,2000.0,756,Employed,24,13757.77,0
45,62998.28,12834.54,634,Employed,60,16777.49,0
60,115413.17,26649.25,720,Part-Time,24,11504.1,0
23,47969.04,16873.69,583,Part-Time,48,5858.73,0
59,75436.01,19061.21,750,Employed,36,12462.9,0
58,69104.38,2000.0,708,Unemployed,36,21392.35,0
33,67492.56,14469.72,572,Employed,36,18285.87,0
49,67141.95,21044.45,660,Employed,12,11793.68,0
28,72677.63,22187.61,764,Part-Time,48,26332.01,0
55,91198.97,26661.2,567,Self-Employed,36,30891.02,0
52,104443.41,16107.68,584,Part-Time,36,8639.0,0
